Algorithm,Problem,Operator,Execucion,Generation,HV_gen
age_moea,zdt2,baseline,0,249,0.5501919883043604
age_moea,zdt2,baseline,1,249,0.5539525106646509
age_moea,zdt2,baseline,2,249,0.5518008646977638
age_moea,zdt2,baseline,3,249,0.5526238526593034
age_moea,zdt2,baseline,4,249,0.5506347065066199
age_moea,zdt2,baseline,5,249,0.5483848151818628
age_moea,zdt2,baseline,6,249,0.548444570688772
age_moea,zdt2,baseline,7,249,0.551870426097304
age_moea,zdt2,baseline,8,249,0.5484898654671555
age_moea,zdt2,baseline,9,249,0.5522648180506089
age_moea,zdt2,baseline,10,249,0.5512966629267195
age_moea,zdt2,baseline,11,249,0.5513769982528147
age_moea,zdt2,baseline,12,249,0.5461019204765188
age_moea,zdt2,baseline,13,249,0.5483470826833058
age_moea,zdt2,baseline,14,249,0.5506826889987242
age_moea,zdt2,baseline,15,249,0.5511859308595939
age_moea,zdt2,baseline,16,249,0.5503982878174024
age_moea,zdt2,baseline,17,249,0.5458505031520643
age_moea,zdt2,baseline,18,249,0.550993765575178
age_moea,zdt2,baseline,19,249,0.5509529502579981
age_moea,zdt2,sam_energy,0,249,0.5530005467801955
age_moea,zdt2,sam_energy,1,249,0.5530615050605624
age_moea,zdt2,sam_energy,2,249,0.5510255212267402
age_moea,zdt2,sam_energy,3,249,0.5508343616413648
age_moea,zdt2,sam_energy,4,249,0.5549040573755886
age_moea,zdt2,sam_energy,5,249,0.5550718293126887
age_moea,zdt2,sam_energy,6,249,0.5547040796494813
age_moea,zdt2,sam_energy,7,249,0.5542451985611584
age_moea,zdt2,sam_energy,8,249,0.553358207045444
age_moea,zdt2,sam_energy,9,249,0.5554055931104411
age_moea,zdt2,sam_energy,10,249,0.5558537169283676
age_moea,zdt2,sam_energy,11,249,0.5530797206110692
age_moea,zdt2,sam_energy,12,249,0.5563197814477341
age_moea,zdt2,sam_energy,13,249,0.5560054792117892
age_moea,zdt2,sam_energy,14,249,0.5543872947305545
age_moea,zdt2,sam_energy,15,249,0.5546786151386592
age_moea,zdt2,sam_energy,16,249,0.5558518590004355
age_moea,zdt2,sam_energy,17,249,0.5543715304096611
age_moea,zdt2,sam_energy,18,249,0.5533756641674843
age_moea,zdt2,sam_energy,19,249,0.5555638092174996
age_moea,zdt2,sam_uniform,0,249,0.54848212973283
age_moea,zdt2,sam_uniform,1,249,0.552372651278549
age_moea,zdt2,sam_uniform,2,249,0.553448809831825
age_moea,zdt2,sam_uniform,3,249,0.5512027103763372
age_moea,zdt2,sam_uniform,4,249,0.5512694425450426
age_moea,zdt2,sam_uniform,5,249,0.5468952737099584
age_moea,zdt2,sam_uniform,6,249,0.5495920887873594
age_moea,zdt2,sam_uniform,7,249,0.5532718697122035
age_moea,zdt2,sam_uniform,8,249,0.551184250499704
age_moea,zdt2,sam_uniform,9,249,0.5483581565953508
age_moea,zdt2,sam_uniform,10,249,0.5503819408747743
age_moea,zdt2,sam_uniform,11,249,0.5515830246793374
age_moea,zdt2,sam_uniform,12,249,0.5542314940934331
age_moea,zdt2,sam_uniform,13,249,0.553917272870959
age_moea,zdt2,sam_uniform,14,249,0.5514202116209436
age_moea,zdt2,sam_uniform,15,249,0.5524321825698001
age_moea,zdt2,sam_uniform,16,249,0.5518024527696256
age_moea,zdt2,sam_uniform,17,249,0.54987358123207
age_moea,zdt2,sam_uniform,18,249,0.5521439469745686
age_moea,zdt2,sam_uniform,19,249,0.5517035230178299
age_moea,zdt2,mut_dirichlet,0,249,0.5560328149861877
age_moea,zdt2,mut_dirichlet,1,249,0.5566208338374863
age_moea,zdt2,mut_dirichlet,2,249,0.5565282757920381
age_moea,zdt2,mut_dirichlet,3,249,0.555410827274052
age_moea,zdt2,mut_dirichlet,4,249,0.5540735675223692
age_moea,zdt2,mut_dirichlet,5,249,0.5554247026246418
age_moea,zdt2,mut_dirichlet,6,249,0.55423411033028
age_moea,zdt2,mut_dirichlet,7,249,0.5539073925778372
age_moea,zdt2,mut_dirichlet,8,249,0.5492412661547269
age_moea,zdt2,mut_dirichlet,9,249,0.5551155823724406
age_moea,zdt2,mut_dirichlet,10,249,0.5550218407756123
age_moea,zdt2,mut_dirichlet,11,249,0.5502505762702572
age_moea,zdt2,mut_dirichlet,12,249,0.5552161204038721
age_moea,zdt2,mut_dirichlet,13,249,0.5566827028557316
age_moea,zdt2,mut_dirichlet,14,249,0.5550265346921918
age_moea,zdt2,mut_dirichlet,15,249,0.5546627236182937
age_moea,zdt2,mut_dirichlet,16,249,0.5501272514802742
age_moea,zdt2,mut_dirichlet,17,249,0.5543181671319235
age_moea,zdt2,mut_dirichlet,18,249,0.5547855805540354
age_moea,zdt2,mut_dirichlet,19,249,0.5547945538326398
