Algorithm,Problem,Operator,Execucion,Generation,HV_gen
nsgaiii,dtlz4,baseline,0,249,0.4321428571428228
nsgaiii,dtlz4,baseline,1,249,0.4321428571428392
nsgaiii,dtlz4,baseline,2,249,0.4321428571047038
nsgaiii,dtlz4,baseline,3,249,0.4321428571427825
nsgaiii,dtlz4,baseline,4,249,0.4321428571410897
nsgaiii,dtlz4,baseline,5,249,0.43214285643934175
nsgaiii,dtlz4,baseline,6,249,0.43214285714221035
nsgaiii,dtlz4,baseline,7,249,0.4321428571427881
nsgaiii,dtlz4,baseline,8,249,0.4321428571407103
nsgaiii,dtlz4,baseline,9,249,0.43214285714285744
nsgaiii,dtlz4,baseline,10,249,0.4321428570687363
nsgaiii,dtlz4,baseline,11,249,0.4321428571428573
nsgaiii,dtlz4,baseline,12,249,0.43214285714285744
nsgaiii,dtlz4,baseline,13,249,0.4321428571428555
nsgaiii,dtlz4,baseline,14,249,0.43214285714285744
nsgaiii,dtlz4,baseline,15,249,0.4321428571428573
nsgaiii,dtlz4,baseline,16,249,0.43214285666611696
nsgaiii,dtlz4,baseline,17,249,0.4321428566315335
nsgaiii,dtlz4,baseline,18,249,0.43214285714285744
nsgaiii,dtlz4,baseline,19,249,0.43214285714285744
nsgaiii,dtlz4,sam_energy,0,249,0.6962191025911291
nsgaiii,dtlz4,sam_energy,1,249,0.6925590382191906
nsgaiii,dtlz4,sam_energy,2,249,0.7047059734670729
nsgaiii,dtlz4,sam_energy,3,249,0.6610774698795288
nsgaiii,dtlz4,sam_energy,4,249,0.7059612301795313
nsgaiii,dtlz4,sam_energy,5,249,0.6955307146327304
nsgaiii,dtlz4,sam_energy,6,249,0.6345769422878319
nsgaiii,dtlz4,sam_energy,7,249,0.6398847838749335
nsgaiii,dtlz4,sam_energy,8,249,0.6628128540422845
nsgaiii,dtlz4,sam_energy,9,249,0.690737539570914
nsgaiii,dtlz4,sam_energy,10,249,0.6545090588849333
nsgaiii,dtlz4,sam_energy,11,249,0.6986726550736425
nsgaiii,dtlz4,sam_energy,12,249,0.6813633713042457
nsgaiii,dtlz4,sam_energy,13,249,0.6767619383216812
nsgaiii,dtlz4,sam_energy,14,249,0.6931388327280885
nsgaiii,dtlz4,sam_energy,15,249,0.6925598882128714
nsgaiii,dtlz4,sam_energy,16,249,0.6537062850504162
nsgaiii,dtlz4,sam_energy,17,249,0.7037368477851228
nsgaiii,dtlz4,sam_energy,18,249,0.6914876319401276
nsgaiii,dtlz4,sam_energy,19,249,0.6818227056741051
nsgaiii,dtlz4,sam_redd,0,249,0.4321428571377413
nsgaiii,dtlz4,sam_redd,1,249,0.43214285714285594
nsgaiii,dtlz4,sam_redd,2,249,0.43214285675859426
nsgaiii,dtlz4,sam_redd,3,249,0.4321428570021322
nsgaiii,dtlz4,sam_redd,4,249,0.43214285714285744
nsgaiii,dtlz4,sam_redd,5,249,0.43214285714285744
nsgaiii,dtlz4,sam_redd,6,249,0.43214285404724295
nsgaiii,dtlz4,sam_redd,7,249,0.43214285714285744
nsgaiii,dtlz4,sam_redd,8,249,0.43214285707201344
nsgaiii,dtlz4,sam_redd,9,249,0.43214285714285716
nsgaiii,dtlz4,sam_redd,10,249,0.4321428563037635
nsgaiii,dtlz4,sam_redd,11,249,0.43214285706133626
nsgaiii,dtlz4,sam_redd,12,249,0.4321428571425039
nsgaiii,dtlz4,sam_redd,13,249,0.43214285714285744
nsgaiii,dtlz4,sam_redd,14,249,0.43214285714284106
nsgaiii,dtlz4,sam_redd,15,249,0.4321428571428569
nsgaiii,dtlz4,sam_redd,16,249,0.4321428570843671
nsgaiii,dtlz4,sam_redd,17,249,0.4321428571428545
nsgaiii,dtlz4,sam_redd,18,249,0.43214285714285744
nsgaiii,dtlz4,sam_redd,19,249,0.4321428570552678
nsgaiii,dtlz4,sam_mssd,0,249,0.7143727320426823
nsgaiii,dtlz4,sam_mssd,1,249,0.7053638236562862
nsgaiii,dtlz4,sam_mssd,2,249,0.6413330439725038
nsgaiii,dtlz4,sam_mssd,3,249,0.6937648651868484
nsgaiii,dtlz4,sam_mssd,4,249,0.6383547299335834
nsgaiii,dtlz4,sam_mssd,5,249,0.6931168341965706
nsgaiii,dtlz4,sam_mssd,6,249,0.6452020238255681
nsgaiii,dtlz4,sam_mssd,7,249,0.643250376715827
nsgaiii,dtlz4,sam_mssd,8,249,0.6942131737418689
nsgaiii,dtlz4,sam_mssd,9,249,0.6986283485382171
nsgaiii,dtlz4,sam_mssd,10,249,0.6402045645199163
nsgaiii,dtlz4,sam_mssd,11,249,0.680901407638653
nsgaiii,dtlz4,sam_mssd,12,249,0.6651173364143437
nsgaiii,dtlz4,sam_mssd,13,249,0.688838680657692
nsgaiii,dtlz4,sam_mssd,14,249,0.6492809107265101
nsgaiii,dtlz4,sam_mssd,15,249,0.7061088182702591
