Algoritmo,Problema,Operador,Ejecucion,Generacion,HV_gen
nsgaii,wfg6,baseline,0,249,0.5534079785605652
nsgaii,wfg6,baseline,1,249,0.5409230948259958
nsgaii,wfg6,baseline,2,249,0.5366188614449414
nsgaii,wfg6,baseline,3,249,0.5377582397374322
nsgaii,wfg6,baseline,4,249,0.5413410821902951
nsgaii,wfg6,baseline,5,249,0.5416158946297543
nsgaii,wfg6,baseline,6,249,0.5435779657364618
nsgaii,wfg6,baseline,7,249,0.5402739892470991
nsgaii,wfg6,baseline,8,249,0.5349693952917168
nsgaii,wfg6,baseline,9,249,0.5416399395027831
nsgaii,wfg6,baseline,10,249,0.5505082890153966
nsgaii,wfg6,baseline,11,249,0.5364440383363034
nsgaii,wfg6,baseline,12,249,0.5352876478497824
nsgaii,wfg6,baseline,13,249,0.547272055161695
nsgaii,wfg6,baseline,14,249,0.5356123115368178
nsgaii,wfg6,baseline,15,249,0.5456939353955541
nsgaii,wfg6,baseline,16,249,0.5219332722870372
nsgaii,wfg6,baseline,17,249,0.534267489974508
nsgaii,wfg6,baseline,18,249,0.5542964210034879
nsgaii,wfg6,baseline,19,249,0.5324855232514827
nsgaii,wfg6,sam_energy,0,249,0.5416242698887264
nsgaii,wfg6,sam_energy,1,249,0.5318395351858503
nsgaii,wfg6,sam_energy,2,249,0.5384914479662191
nsgaii,wfg6,sam_energy,3,249,0.5311266473837629
nsgaii,wfg6,sam_energy,4,249,0.5490841050500137
nsgaii,wfg6,sam_energy,5,249,0.5435389707566249
nsgaii,wfg6,sam_energy,6,249,0.5486254669490991
nsgaii,wfg6,sam_energy,7,249,0.5392940283140539
nsgaii,wfg6,sam_energy,8,249,0.5468168653971512
nsgaii,wfg6,sam_energy,9,249,0.5381461763941388
nsgaii,wfg6,sam_energy,10,249,0.5462410055256695
nsgaii,wfg6,sam_energy,11,249,0.5474352400898326
nsgaii,wfg6,sam_energy,12,249,0.5356886884224745
nsgaii,wfg6,sam_energy,13,249,0.5379891151439741
nsgaii,wfg6,sam_energy,14,249,0.5407779081204954
nsgaii,wfg6,sam_energy,15,249,0.5433355204147227
nsgaii,wfg6,sam_energy,16,249,0.541504125375742
nsgaii,wfg6,sam_energy,17,249,0.5095397592854493
nsgaii,wfg6,sam_energy,18,249,0.5447455359966935
nsgaii,wfg6,sam_energy,19,249,0.5300018601690504
nsgaii,wfg6,sam_uniform,0,249,0.5384490399936852
nsgaii,wfg6,sam_uniform,1,249,0.5386113447140195
nsgaii,wfg6,sam_uniform,2,249,0.5278327516903554
nsgaii,wfg6,sam_uniform,3,249,0.5428184336751494
nsgaii,wfg6,sam_uniform,4,249,0.5344856405001879
nsgaii,wfg6,sam_uniform,5,249,0.5347434280763272
nsgaii,wfg6,sam_uniform,6,249,0.5418370239665771
nsgaii,wfg6,sam_uniform,7,249,0.5428576422169786
nsgaii,wfg6,sam_uniform,8,249,0.5409903224503412
nsgaii,wfg6,sam_uniform,9,249,0.5408500413983387
nsgaii,wfg6,sam_uniform,10,249,0.5502717311017707
nsgaii,wfg6,sam_uniform,11,249,0.5232894259339576
nsgaii,wfg6,sam_uniform,12,249,0.5341739154878399
nsgaii,wfg6,sam_uniform,13,249,0.5466958553039872
nsgaii,wfg6,sam_uniform,14,249,0.5371393670987719
nsgaii,wfg6,sam_uniform,15,249,0.535481376700847
nsgaii,wfg6,sam_uniform,16,249,0.5222158780255631
nsgaii,wfg6,sam_uniform,17,249,0.5205483042232586
nsgaii,wfg6,sam_uniform,18,249,0.5401917806872407
nsgaii,wfg6,sam_uniform,19,249,0.5372911394987865
nsgaii,wfg6,mut_dirichlet,0,249,0.5374873792691156
nsgaii,wfg6,mut_dirichlet,1,249,0.5320805079337882
nsgaii,wfg6,mut_dirichlet,2,249,0.5303611056093017
nsgaii,wfg6,mut_dirichlet,3,249,0.5418696106928829
nsgaii,wfg6,mut_dirichlet,4,249,0.5204561649150173
nsgaii,wfg6,mut_dirichlet,5,249,0.5264914090849893
nsgaii,wfg6,mut_dirichlet,6,249,0.4998773430514054
nsgaii,wfg6,mut_dirichlet,7,249,0.5318337415674969
nsgaii,wfg6,mut_dirichlet,8,249,0.5212917771028436
nsgaii,wfg6,mut_dirichlet,9,249,0.5107354785756238
nsgaii,wfg6,mut_dirichlet,10,249,0.5454495572915781
nsgaii,wfg6,mut_dirichlet,11,249,0.5092188075346196
nsgaii,wfg6,mut_dirichlet,12,249,0.5442469628169869
nsgaii,wfg6,mut_dirichlet,13,249,0.5152325601106555
nsgaii,wfg6,mut_dirichlet,14,249,0.5258160281207185
nsgaii,wfg6,mut_dirichlet,15,249,0.5179594648200058
nsgaii,wfg6,mut_dirichlet,16,249,0.5353582050789052
nsgaii,wfg6,mut_dirichlet,17,249,0.5253231448347044
nsgaii,wfg6,mut_dirichlet,18,249,0.4992868757809712
nsgaii,wfg6,mut_dirichlet,19,249,0.5418712815722608
nsgaii,wfg6,cross_spx,0,249,0.3999316839650299
nsgaii,wfg6,cross_spx,1,249,0.2988884551387084
nsgaii,wfg6,cross_spx,2,249,0.4535982860080106
nsgaii,wfg6,cross_spx,3,249,0.46268566213323736
nsgaii,wfg6,cross_spx,4,249,0.4869743184762646
nsgaii,wfg6,cross_spx,5,249,0.46295700010680163
nsgaii,wfg6,cross_spx,6,249,0.4784432582835595
nsgaii,wfg6,cross_spx,7,249,0.41630634964862634
nsgaii,wfg6,cross_spx,8,249,0.4500145422692441
nsgaii,wfg6,cross_spx,9,249,0.40897533908010575
nsgaii,wfg6,cross_spx,10,249,0.44496799658082853
nsgaii,wfg6,cross_spx,11,249,0.4709772034279113
nsgaii,wfg6,cross_spx,12,249,0.29303416459939724
nsgaii,wfg6,cross_spx,13,249,0.29786857933545824
nsgaii,wfg6,cross_spx,14,249,0.4008871501124797
nsgaii,wfg6,cross_spx,15,249,0.42205027237277304
nsgaii,wfg6,cross_spx,16,249,0.47906828846566263
