Algoritmo,Problema,Operador,Ejecucion,Generacion,HV_gen
nsgaii,wfg4,baseline,0,249,0.5718127931845004
nsgaii,wfg4,baseline,1,249,0.5437938133710241
nsgaii,wfg4,baseline,2,249,0.5483184683262867
nsgaii,wfg4,baseline,3,249,0.55815907590622
nsgaii,wfg4,baseline,4,249,0.5489012652302268
nsgaii,wfg4,baseline,5,249,0.5610326555238401
nsgaii,wfg4,baseline,6,249,0.5796215375777998
nsgaii,wfg4,baseline,7,249,0.5541475716212159
nsgaii,wfg4,baseline,8,249,0.5617545965159
nsgaii,wfg4,baseline,9,249,0.5592297129202537
nsgaii,wfg4,baseline,10,249,0.5615802143854408
nsgaii,wfg4,baseline,11,249,0.5650002169202428
nsgaii,wfg4,baseline,12,249,0.5669032155212715
nsgaii,wfg4,baseline,13,249,0.5740356598891267
nsgaii,wfg4,baseline,14,249,0.5755235639688684
nsgaii,wfg4,baseline,15,249,0.5656236260279968
nsgaii,wfg4,baseline,16,249,0.5714749198683549
nsgaii,wfg4,baseline,17,249,0.548133480651136
nsgaii,wfg4,baseline,18,249,0.5545142566905845
nsgaii,wfg4,baseline,19,249,0.5739896254558046
nsgaii,wfg4,sam_energy,0,249,0.5878111489563904
nsgaii,wfg4,sam_energy,1,249,0.5706116737397989
nsgaii,wfg4,sam_energy,2,249,0.5741984743449676
nsgaii,wfg4,sam_energy,3,249,0.569590867556001
nsgaii,wfg4,sam_energy,4,249,0.5569949707821283
nsgaii,wfg4,sam_energy,5,249,0.5826292193739837
nsgaii,wfg4,sam_energy,6,249,0.5675528606887802
nsgaii,wfg4,sam_energy,7,249,0.5740354284652329
nsgaii,wfg4,sam_energy,8,249,0.5718905885749033
nsgaii,wfg4,sam_energy,9,249,0.5837774771862799
nsgaii,wfg4,sam_energy,10,249,0.5547479420283115
nsgaii,wfg4,sam_energy,11,249,0.5596146592569602
nsgaii,wfg4,sam_energy,12,249,0.5660305490082342
nsgaii,wfg4,sam_energy,13,249,0.5607219835674819
nsgaii,wfg4,sam_energy,14,249,0.5745297831262652
nsgaii,wfg4,sam_energy,15,249,0.5748517636209561
nsgaii,wfg4,sam_energy,16,249,0.5710617900496159
nsgaii,wfg4,sam_energy,17,249,0.5719881059476962
nsgaii,wfg4,sam_energy,18,249,0.5555648680070966
nsgaii,wfg4,sam_energy,19,249,0.5710303606385212
nsgaii,wfg4,sam_uniform,0,249,0.5729480877302943
nsgaii,wfg4,sam_uniform,1,249,0.5620544341298382
nsgaii,wfg4,sam_uniform,2,249,0.580003019299364
nsgaii,wfg4,sam_uniform,3,249,0.5568248713485918
nsgaii,wfg4,sam_uniform,4,249,0.561129908551451
nsgaii,wfg4,sam_uniform,5,249,0.5482893405398332
nsgaii,wfg4,sam_uniform,6,249,0.5751615418676586
nsgaii,wfg4,sam_uniform,7,249,0.5741712572760658
nsgaii,wfg4,sam_uniform,8,249,0.5653440621039899
nsgaii,wfg4,sam_uniform,9,249,0.5680683399205391
nsgaii,wfg4,sam_uniform,10,249,0.5499669911418326
nsgaii,wfg4,sam_uniform,11,249,0.5758629539254074
nsgaii,wfg4,sam_uniform,12,249,0.5603406506767314
nsgaii,wfg4,sam_uniform,13,249,0.5475447144661059
nsgaii,wfg4,sam_uniform,14,249,0.5553701399905966
nsgaii,wfg4,sam_uniform,15,249,0.5713726766236753
nsgaii,wfg4,sam_uniform,16,249,0.5595774875317588
nsgaii,wfg4,sam_uniform,17,249,0.5647923691693477
nsgaii,wfg4,sam_uniform,18,249,0.5603336451539427
nsgaii,wfg4,sam_uniform,19,249,0.5582919611918411
nsgaii,wfg4,mut_dirichlet,0,249,0.5577515009205543
nsgaii,wfg4,mut_dirichlet,1,249,0.5914779140263433
nsgaii,wfg4,mut_dirichlet,2,249,0.5511174686872424
nsgaii,wfg4,mut_dirichlet,3,249,0.5605535500058194
nsgaii,wfg4,mut_dirichlet,4,249,0.5767275245457449
nsgaii,wfg4,mut_dirichlet,5,249,0.5705706148634782
nsgaii,wfg4,mut_dirichlet,6,249,0.5862266952461997
nsgaii,wfg4,mut_dirichlet,7,249,0.5762019006530363
nsgaii,wfg4,mut_dirichlet,8,249,0.5754252210225409
nsgaii,wfg4,mut_dirichlet,9,249,0.5787442260423377
nsgaii,wfg4,mut_dirichlet,10,249,0.5681485954329791
nsgaii,wfg4,mut_dirichlet,11,249,0.577134525514394
nsgaii,wfg4,mut_dirichlet,12,249,0.565097986947221
nsgaii,wfg4,mut_dirichlet,13,249,0.572914932404393
nsgaii,wfg4,mut_dirichlet,14,249,0.5704171211948112
nsgaii,wfg4,mut_dirichlet,15,249,0.5769734741865966
nsgaii,wfg4,mut_dirichlet,16,249,0.5732229533262002
